in:Combinations,out:Threshold Area,out:% of Total Area,img
0,189.224,0.933333,Combinations0.png
1,194.855668,0.961111,Combinations1.png
2,186.971333,0.922222,Combinations2.png
3,161.065669,0.794444,Combinations3.png
4,188.097667,0.927778,Combinations4.png
5,195.981998,0.966667,Combinations5.png
6,185.845003,0.916667,Combinations6.png
7,173.455335,0.855556,Combinations7.png
8,186.971332,0.922222,Combinations8.png
9,175.708001,0.866667,Combinations9.png
10,190.350332,0.938889,Combinations10.png
11,193.72933,0.955556,Combinations11.png
12,185.844999,0.916667,Combinations12.png
13,193.729334,0.955556,Combinations13.png
14,194.855665,0.961111,Combinations14.png
15,188.097666,0.927778,Combinations15.png
16,192.603,0.95,Combinations16.png
17,194.855665,0.961111,Combinations17.png
18,176.834336,0.872222,Combinations18.png
19,192.602999,0.95,Combinations19.png
20,189.224001,0.933333,Combinations20.png
21,154.307668,0.761111,Combinations21.png
22,162.191996,0.8,Combinations22.png
23,195.981999,0.966667,Combinations23.png
24,190.350331,0.938889,Combinations24.png
25,170.076335,0.838889,Combinations25.png
26,190.350332,0.938889,Combinations26.png
27.0,190.350333,0.938889,Combinations27.0.png
28,190.350335,0.938889,Combinations28.png
29,173.455334,0.855556,Combinations29.png
30,193.729331,0.955556,Combinations30.png
31,193.729332,0.955556,Combinations31.png
32,172.328998,0.85,Combinations32.png
33,183.592331,0.905556,Combinations33.png
34,190.350331,0.938889,Combinations34.png
35,194.855665,0.961111,Combinations35.png
36,172.329,0.85,Combinations36.png
37,189.224,0.933333,Combinations37.png
38,191.476666,0.944444,Combinations38.png
39,188.097666,0.927778,Combinations39.png
40,191.476666,0.944444,Combinations40.png
41,175.708002,0.866667,Combinations41.png
42,188.097665,0.927778,Combinations42.png
43,189.224001,0.933333,Combinations43.png
44,188.097666,0.927778,Combinations44.png
45,191.476666,0.944444,Combinations45.png
46,186.971333,0.922222,Combinations46.png
47,188.097666,0.927778,Combinations47.png
48,190.350334,0.938889,Combinations48.png
49,191.476665,0.944444,Combinations49.png
50,190.350331,0.938889,Combinations50.png
51,188.097668,0.927778,Combinations51.png
52,181.339668,0.894444,Combinations52.png
53,173.455331,0.855556,Combinations53.png
54.0,191.476665,0.944444,Combinations54.0.png
55,190.350333,0.938889,Combinations55.png
56,188.097666,0.927778,Combinations56.png
57,161.065662,0.794444,Combinations57.png
58,188.097666,0.927778,Combinations58.png
59.0,191.476668,0.944444,Combinations59.0.png
60,183.592336,0.905556,Combinations60.png
61,168.949994,0.833333,Combinations61.png
62,188.09767,0.927778,Combinations62.png
63,186.971333,0.922222,Combinations63.png
64,177.960668,0.877778,Combinations64.png
65,174.581668,0.861111,Combinations65.png
66,194.855667,0.961111,Combinations66.png
67,194.855667,0.961111,Combinations67.png
68,193.72933,0.955556,Combinations68.png
69,195.982,0.966667,Combinations69.png
70,192.603001,0.95,Combinations70.png
71,188.097667,0.927778,Combinations71.png
72,189.224,0.933333,Combinations72.png
73,194.855666,0.961111,Combinations73.png
74,175.708001,0.866667,Combinations74.png
75,175.707993,0.866667,Combinations75.png
76,175.708002,0.866667,Combinations76.png
77,188.097665,0.927778,Combinations77.png
78,177.960665,0.877778,Combinations78.png
79,188.097664,0.927778,Combinations79.png
80,190.350332,0.938889,Combinations80.png
81,189.223999,0.933333,Combinations81.png
82,189.223999,0.933333,Combinations82.png
83,186.971332,0.922222,Combinations83.png
84,189.223999,0.933333,Combinations84.png
85,194.855666,0.961111,Combinations85.png
86,192.603001,0.95,Combinations86.png
87,189.224,0.933333,Combinations87.png
88,189.224001,0.933333,Combinations88.png
89,194.855665,0.961111,Combinations89.png
90,185.845,0.916667,Combinations90.png
91,193.729335,0.955556,Combinations91.png
92,183.592333,0.905556,Combinations92.png
93,190.350335,0.938889,Combinations93.png
94,192.603002,0.95,Combinations94.png
95,173.455335,0.855556,Combinations95.png
96,189.223997,0.933333,Combinations96.png
97,174.581659,0.861111,Combinations97.png
98,193.729334,0.955556,Combinations98.png
99,192.603,0.95,Combinations99.png
