in:S1 Distance,out:Mass [kg],out:Maximum displacement [cm],out:Elastic Energy Change [kNm],img
2,306247.11884,5.765176,6.770648,S1Distance2.png
3,306247.11884,117.561996,6.679947,S1Distance3.png
4,306247.120594,117.368308,6.770504,S1Distance4.png
5,306247.122348,117.368357,6.827342,S1Distance5.png
6,306247.122348,117.368417,6.829863,S1Distance6.png
7,306247.122348,117.368492,6.781165,S1Distance7.png
8.0,306247.122348,117.368588,6.701866,S1Distance8.0.png
9,306247.122348,117.368708,6.630973,S1Distance9.png
10,306247.122348,117.368882,6.623178,S1Distance10.png
11,306247.122348,117.369032,6.741145,S1Distance11.png
12,306247.122348,117.368834,7.043369,S1Distance12.png
13,306247.122348,117.387578,7.584336,S1Distance13.png
